name,probability_female,frequency
Aayan,0,3.952654132132063e-06
Aayana,1,3.5045334601752303e-07
Aayanah,1,2.872568409979697e-08
Aayanna,1,1.0915759957922848e-07
Aayansh,0,4.2514012467699514e-07
Aayat,1,3.447082091975636e-07
Aaydan,0,3.1598252509776665e-08
Aayden,0.003518648838845883,4.081919710581149e-06
Aayla,1,1.154772500811838e-06
Aaylah,1,2.3267804120835544e-07
Aayliah,1,2.4704088325825393e-07
Aayon,0,1.4362842049898485e-08
Aayra,1,1.1777530480916757e-07
Aayu,0,1.7235410459878182e-08
Aayush,0,3.2804731241968137e-06
Aayusha,1,3.1598252509776665e-08
Aayushi,1,6.492004606554115e-07
Aazan,0,1.4362842049898485e-08
Aazeen,1,1.4362842049898485e-08
Aazil,0,1.7235410459878182e-08
Aazim,0,8.33044838894112e-08
Aaziyah,1,8.043191547943151e-08
Ab,0,1.0398697644126503e-06
Aba,0.84375,9.19221891193503e-08
Abaan,0,1.2639301003910666e-07
Abaas,0,1.7235410459878182e-08
Abad,0,2.4991345166823363e-07
Abagael,1,6.032393660957363e-07
Abagail,1,1.6112236211576118e-05
Abagaile,1,4.308852614969545e-08
Abagale,1,1.051360038052569e-06
Abagayle,1,9.93908669852975e-07
Abaigael,1,5.457879978961424e-08
Abaigail,1,2.872568409979697e-08
Abaigeal,1,9.479475752932999e-07
Aban,0,6.894164183951273e-08
Abanoub,0,4.366303983169139e-07
Abas,0,2.1831519915845696e-07
Abasi,0,1.1490273639918788e-07
Abass,0,2.4416831484827424e-07
Abayomi,0,6.319650501955333e-07
Abb,0,2.757665673580509e-07
Abba,0.13043478260869565,1.3213814685906604e-07
Abbaas,0,1.4362842049898485e-08
Abbagail,1,2.4100848959729655e-06
Abbagale,1,3.849241669372794e-07
Abbagayle,1,3.2172766191772605e-07
Abbas,0,3.6050733545245193e-06
Abbe,1,3.8061531432230984e-06
Abbee,1,4.682286508266906e-07
Abbegail,1,7.066518288550054e-07
Abbegale,1,2.3555060961833514e-07
Abbegayle,1,2.0969749392851788e-07
Abbey,0.9979620356352626,4.933348987299131e-05
Abbeygail,1,1.8958951505865998e-07
Abbeygale,1,6.319650501955333e-08
Abbi,1,5.739391683139434e-06
Abbie,0.9850340762571376,6.23806955911191e-05
Abbiegail,1,6.980341236250663e-07
Abbiegale,1,1.666089677788224e-07
Abbiegayle,1,5.170623137963454e-08
Abbigael,1,4.653560824167109e-07
Abbigail,0.9995640802092415,3.294835966246712e-05
Abbigaile,1,2.614037253081524e-07
Abbigal,1,4.5099324036681237e-07
Abbigale,1,6.092717597566937e-06
Abbigayl,1,8.33044838894112e-08
Abbigayle,1,3.7343389329736057e-06
Abbilyn,1,3.4470820919756364e-08
Abbot,0,6.606907342953302e-08
Abbott,0.023529411764705882,2.930019778179291e-06
Abbra,1,1.0341246275926908e-07
Abbriella,1,8.90496207093706e-08
Abbrielle,1,2.3842317802831486e-07
Abby,0.9968661264630515,0.00016590806108678736
Abbye,1,5.285525874362642e-07
Abbygael,1,2.0107978869857877e-07
Abbygail,1,9.703536088911415e-06
Abbygaile,1,1.3501071526904574e-07
Abbygale,1,2.2147502440943462e-06
Abbygayl,1,1.7235410459878182e-08
Abbygayle,1,1.278292942440965e-06
Abbylynn,1,5.170623137963454e-08
Abcde,1,1.071468016922427e-06
Abd,0,4.883366296965485e-08
Abdala,0,1.7235410459878182e-08
Abdalah,0,1.7235410459878182e-08
Abdalla,0,8.531528177639699e-07
Abdallah,0,3.579220238834702e-06
Abdalrahman,0,4.940817665165079e-07
Abdalrhman,0,1.4362842049898485e-08
Abdel,0,1.6833250882481023e-06
Abdelaziz,0,2.872568409979697e-07
Abdelhadi,0,1.4362842049898485e-08
Abdelhamid,0,1.4362842049898485e-08
Abdelkader,0,1.4362842049898485e-08
Abdelkareem,0,2.872568409979697e-08
Abdelkarim,0,9.19221891193503e-08
Abdellah,0,6.894164183951273e-08
Abdelrahman,0,1.648854267328346e-06
Abdelrhman,0,1.7235410459878182e-08
Abderrahman,0,1.4362842049898485e-08
Abdi,0.035842293906810034,8.014465863843353e-07
Abdia,1,1.4362842049898485e-08
Abdias,0,1.7350313196277369e-06
Abdiasis,0,1.7235410459878182e-08
Abdiaziz,0,4.423755351368733e-07
Abdiel,0,1.1921158901415741e-05
Abdifatah,0,6.34837618605513e-07
Abdihafid,0,6.032393660957364e-08
Abdihakim,0,1.2352044162912697e-07
Abdihamid,0,1.4362842049898485e-08
Abdikadir,0,4.0790471421711693e-07
Abdikarim,0,8.043191547943151e-08
Abdikhaliq,0,1.4362842049898485e-08
Abdilahi,0,2.872568409979697e-08
Abdimalik,0,5.601508399460409e-07
Abdinajib,0,1.4362842049898485e-08
Abdinasir,0,4.797189244666094e-07
Abdiqani,0,7.755934706945182e-08
Abdirahim,0,2.2406033597841634e-07
Abdirahin,0,1.7235410459878182e-08
Abdirahman,0,4.782826402616195e-06
Abdirashid,0,1.1490273639918788e-07
Abdirisaq,0,3.4470820919756364e-08
Abdirizak,0,2.3267804120835544e-07
Abdisalam,0,1.4362842049898485e-08
Abdisalan,0,3.1598252509776665e-08
Abdisamad,0,6.606907342953302e-08
Abdishakur,0,1.809718098287209e-07
Abdiwahab,0,5.457879978961424e-08
Abdiwali,0,1.4362842049898485e-08
Abdo,0,1.694815361888021e-07
Abdon,0,1.0312520591827112e-06
Abdou,0,6.377101870154927e-07
Abdoul,0,1.2639301003910666e-06
Abdoulaye,0,1.8930225821766202e-06
Abdoulaziz,0,2.872568409979697e-08
Abdoulie,0,3.447082091975636e-07
Abdourahman,0,1.4362842049898485e-08
Abdourahmane,0,5.170623137963454e-08
Abdrahman,0,4.308852614969545e-08
Abdrew,0,1.7235410459878182e-08
Abdriel,0,2.2980547279837574e-08
Abdu,0,9.19221891193503e-08
Abdual,0,4.883366296965485e-08
Abduallah,0,9.19221891193503e-08
Abduel,0,1.4362842049898485e-08
Abdul,0,1.6448326715543744e-05
Abdula,0,1.1203016798920817e-07
Abdulah,0,2.1544263074847726e-07
Abdulahad,0,2.1257006233849757e-07
Abdulahi,0,1.183498184911635e-06
Abdulai,0,2.3842317802831486e-07
Abdulaye,0,1.4362842049898485e-08
Abdulazeem,0,1.4362842049898485e-08
Abdulazeez,0,7.181421024949242e-08
Abdulazim,0,1.4362842049898485e-08
Abdulaziz,0,3.6337990386243166e-06
Abdulbari,0,1.4362842049898485e-08
Abdulbasit,0,3.734338932973606e-08
Abdule,0,1.7235410459878182e-08
Abdulelah,0,9.76673259393097e-08
Abdulghani,0,1.7235410459878182e-08
Abdulhaadi,0,1.4362842049898485e-08
Abdulhadi,0,3.418356407875839e-07
Abdulhakeem,0,1.2926557844908635e-07
Abdulhakim,0,4.596109455967515e-08
Abdulhalim,0,1.4362842049898485e-08
Abdulhameed,0,3.1598252509776665e-08
Abdulhamid,0,1.924620834686397e-07
Abduljabbar,0,6.032393660957364e-08
Abduljaleel,0,1.4362842049898485e-08
Abduljalil,0,1.4362842049898485e-08
Abdulkadir,0,3.561984828374824e-07
Abdulkareem,0,5.342977242562236e-07
Abdulkarim,0,4.0790471421711693e-07
Abdulkhaliq,0,5.170623137963454e-08
Abdull,0,1.4362842049898485e-08
Abdulla,0,1.2466946899311884e-06
Abdullah,0,1.9748907818610417e-05
Abdullahi,0,3.860731943012713e-06
Abdullatif,0,9.76673259393097e-08
Abdulloh,0,1.1777530480916757e-07
Abdulmajeed,0,1.0341246275926908e-07
Abdulmajid,0,6.032393660957364e-08
Abdulmalek,0,1.4362842049898485e-08
Abdulmalik,0,1.23233184788129e-06
Abdulmohsen,0,4.596109455967515e-08
Abdulnasir,0,1.4362842049898485e-08
Abdulqadir,0,1.0915759957922848e-07
Abdulraheem,0,3.0736481986782753e-07
Abdulrahim,0,2.671488621281118e-07
Abdulrahman,0,6.092717597566937e-06
Abdulrazaq,0,1.4362842049898485e-08
Abdulrehman,0,1.5799126254888333e-07
Abdulrhman,0,8.043191547943151e-08
Abdulsalam,0,1.2064787321914727e-07
Abdulsamad,0,5.745136819959394e-08
Abdulwadud,0,1.4362842049898485e-08
Abdulwahab,0,4.0790471421711693e-07
Abdulwahid,0,5.170623137963454e-08
Abdulwali,0,3.1598252509776665e-08
Abdur,0,7.353775129548024e-07
Abdurahim,0,1.4362842049898485e-08
Abdurahman,0,9.536927121132594e-07
Abdurahmon,0,1.4362842049898485e-08
Abdurraheem,0,9.479475752932999e-08
Abdurrahim,0,7.755934706945182e-08
Abdurrahmaan,0,1.4362842049898485e-08
Abdurrahman,0,2.1917696968145087e-06
Abdurrehman,0,8.61770522993909e-08
Abdussamad,0,1.7235410459878182e-08
Abe,0,2.6306981498594064e-05
Abeal,0,1.4362842049898485e-08
Abed,0,5.544057031260815e-07
Abedallah,0,4.596109455967515e-08
Abedalrahman,0,3.1598252509776665e-08
Abednego,0,1.694815361888021e-07
Abeeha,1,2.9587454622790876e-07
Abeer,0.9104991394148021,1.6689622461982039e-06
Abeera,1,1.5511869413890364e-07
Abegail,1,1.4276664997599093e-06
Abegale,1,1.4362842049898485e-08
Abegayle,1,6.606907342953302e-08
Abel,0.0022493829126522813,0.00014430634664374005
Abela,1,6.319650501955333e-08
Abelardo,0,1.2624938161860767e-05
Abelina,1,1.4994807100094018e-06
Abelino,0,2.415830032792925e-06
Abell,0.1724137931034483,8.33044838894112e-08
Abella,1,2.0625041183654224e-06
Abem,0,1.723541045987818e-07
Aben,0,6.319650501955333e-08
Abena,1,1.6431091305083865e-06
Abenezer,0,4.5099324036681237e-07
Abeni,1,1.0484874696425892e-06
Aber,1,1.4362842049898485e-08
Aberdeen,1,4.481206719568327e-07
Aberham,0,7.181421024949242e-08
Abernathy,1,9.479475752932999e-08
Abert,0,4.308852614969545e-08
Abery,1,2.0107978869857878e-08
Abey,0.6296296296296297,7.755934706945182e-08
Abgail,1,8.33044838894112e-08
Abha,1,1.4362842049898484e-07
Abhay,0,1.9188756978664374e-06
Abheek,0,2.0107978869857878e-08
Abhi,0,7.009066920350461e-07
Abhigna,1,1.1777530480916757e-07
Abhijay,0,2.7289399894807117e-07
Abhijeet,0,1.2926557844908635e-07
Abhijit,0,1.2064787321914727e-07
Abhijot,0,1.4362842049898484e-07
Abhik,0,6.032393660957364e-08
Abhilash,0,6.319650501955333e-08
Abhimanyu,0,5.314251558462439e-07
Abhinav,0,4.972415917674855e-06
Abhinay,0,1.4362842049898485e-08
Abhinaya,1,1.4362842049898485e-08
Abhiraam,0,1.7235410459878182e-08
Abhiraj,0,1.924620834686397e-07
Abhiram,0,2.510624790322255e-06
Abhirami,1,1.4362842049898485e-08
Abhirup,0,2.872568409979697e-08
Abhishek,0,2.163044012714712e-06
Abhyuday,0,2.872568409979697e-08
Abi,0.9588785046728971,1.5368240993391377e-06
Abia,1,2.815117041780103e-07
Abiageal,1,4.16522419447056e-07
Abiah,1,1.2352044162912697e-07
Abian,0,5.745136819959394e-08
Abianna,1,1.4362842049898485e-08
Abibail,1,1.7235410459878182e-08
Abid,0,9.536927121132594e-07
Abida,1,1.0628503116924878e-07
Abidah,1,1.4362842049898485e-08
Abidan,0,4.596109455967515e-08
Abie,0.09410112359550561,2.045268707905544e-06
Abiegail,1,4.308852614969545e-08
Abiel,0.024305555555555556,3.3091988082966105e-06
Abiela,1,5.745136819959394e-08
Abiella,1,4.596109455967515e-08
Abiezer,0,3.4470820919756364e-08
Abigael,0.9970041941282205,4.794316676256114e-06
Abigaelle,1,4.2226755626701545e-07
Abigahil,1,1.2064787321914727e-07
Abigai,1,3.4470820919756364e-08
Abigail,0.9982438499738118,0.0010255959719834612
Abigaile,1,1.677579951428143e-06
Abigailgrace,1,5.170623137963454e-08
Abigaille,1,7.755934706945182e-08
Abigailmarie,1,3.1598252509776665e-08
Abigailrose,1,5.170623137963454e-08
Abigal,1,2.1802794231745897e-06
Abigale,1,1.5845087349448006e-05
Abigayil,1,6.032393660957364e-08
Abigayl,1,9.76673259393097e-07
